Amine-Commerce-Eurl 1913
Chambre-d'agriculture 9981
ROC-Algérie-Sarl 3994
ETS-CHEKALIL-ABDELLAH 3299
CCLS-AIN-DEFLA-Cooperative-Céréales-Et-Légumes-Sec 7323
Ellatif-Multiservices 6597
Djenane-noor-SARL 1534
Ametna-Sarl 7251
Global-food-supplier-SARL 7131
Gold-marque-import-export-SARL 5094
Ahras-export-SARL 7217
HAKIM-TRADING-EXPORT-sarl 7647
EL-NADJAH-AGRO-Eurl 7865
Ets-GRINE-Mohamed-Export 8366
Ets-KERBAA-Abdelkrim 2621
AGRO-BIO-SAMI-EURL 2734
BELLI-Import-Export-EURL 7275
ICOSIUM-FOODS-Sarl 6837
AGRICOLA-BETAIL-Sarl 9911
Groupe-Moulay-Nadjem-Sarl-GMN 5617
AGRO-RAYANE-Sarl 4325
Ets-HADDOUD-Salim 4807
AGROEARTH-Sarl 6855
Groupe-YSREF 5975
BIODATTES-ALGERIE-EURL 9229
AGRODAT-Sarl 9892
SALEM-PRIMEUR-Sarl 1809
ALLOUACHE-AMAR-EXPORT-EURL 1715
EL-AHLIA-EXPORT-Sarl 5276
Etablissement-BENHALIMA-Ahmed 2902
GEXIMA-SPA 2864
TOLGA-AGRO-FOOD-Sarl 3083
BENZAZA-Import-Export-Sarl 5911
SED-OASIS-Sarl 7384
MAMINE-EURL 4740
SOCOFEL-Sarl 5027
Les-Moulins-EL-MALIK-Sarl 6464
Agro-Multi-Investissement-&-Services-Spa-AXIUM 9886
L'UNIVERS-AGRICOLE-KRAOUL-&-Fils-Sarl 2793
GROUPE-ZIZI 3920
SARL-TOLGA-AGRO-FOOD 6556
AGRONIMA-Sarl 1007
Ets-Lakhder-HLIMET 4146
AMADAGH-Sarl 8975
Coopérative-Agricole-de-Service-des-Approvisionnements-CASAP-N'GAOUS 4807
TRANS-MIDI-EXPRESS-Sarl 6723
MOFAZ-BARDJAMANA-Import-Export-Sarl 4269
Ets-HAMIMOUR 3423
KEHEL-Brahim-Export 5402
FRUITS-STORE-EXPORT-EURL 7552
TIMAC-AGRO-ALGERIE-Sarl 7255
PHYTAGRI-Sarl 3646
EL-ISTIBREK-EURL 8414
Etablissement-ABDELAZIZ 7712
Conserverie-des-Fruits-de-Mer-Sarl-BCF 2738
Ets-MAMINE-EXPORT 4542
SAHREX-Eurl 8609
MRHN-IMPORT-EXPORT-Eurl 9025
OULEKSER-Sarl 8196
EL-FALAK-Sarl 2018
GLOBAL-TRADE-SAHARA-Eurl 1403
EXPLATEAU-Sarl 3005
LES-PRODUITS-NOUNOURS-BENI-TAMOU-Sarl 4036
BAYAT-CATERING-Spa 2564
MAFATIH-EL-KEIR-EXPORT-Sarl 6619
Ets-EL-MOKHTAR-CO 5652
SOUYADI-Export-Sarl 6697
Trading-Algeria-Wide-Sarl-TAW-EXPORT 1152
RACH-FOOD-Sarl 7635
BARICAL-EURL 7209
HALLI-VERT 8212
HYGIETEC-HACHANI-Mohamed 2585
TASSALI-Sarl 7997
Ets-MABROUK 8632
ALMAFRIQUE-Sarl 3051
DOUGUIZ-Sarl 4118
FRUIKA-IMPORT-EXPORT-Sarl 5794
NOORZID-GREEN-Spa 6148
LIF-TRADING-DEVELOPEMENT-Sarl 9101
MERTRAV-AGROALIMENTAIRE-Sarl 1253
KADI-BIO-EXPORT-Sarl 6752
GREEN-FRUITS-VEGETABLES-Sarl 1399
EL-KAMLA 5341
Les-Grands-Moulins-du-Sud-OUMACHE-Spa-GMS-OUMACHE 2701
DANI-NET 1640
PERFECT-SNACKS-Eurl 4594
WASLY-INDUSTRIE-Sarl 4315
EDHAOUAKA-EL-DJAZAIRIA-Sarl 6165
FACILIFOOD-Sarl 6439
MERADJA-COLIFEL-Eurl 4090
UNITED-TOBACCO-COMPANY-Spa 4696
DYDO-Sarl 2508
GROUPE-LOUIFI-SARL 4140
SEAWIND-GLOBAL-Eurl 9180
CAP-DE-GARDE-Sarl 6909
Ets-SADI-Kamel 9660
SSA-SIG-AGRO-Sarl 5363
EL-SABAH-Commerce-&-Invest-&-Gest 3922
Algérienne-de-Produit-Agricole-et-Export-Sarl-AGRIMED 5215
SERENA-IMPORT-EXPORT-Sarl 6844
SIMAC-PLUS-Sarl 4375
SOCIETE-BOULAL-Eurl 1280
SETA-GLOBAL-Sarl 4728
WORLDWIDE-BIO-FOOD-Sarl 5823
Agrana-fruit-algerie-Spa 8846
SERVINAL-ALIMENTAIRE-Sarl 2872
REBAHI-IMPORT-EXPORT-Eurl 4979
SAVEUR-DE-GRAND-SUD-IMPORT-EXPORT-Eurl 6974
SAVEUR-DU-SA-HARA-Eurl 8824
SCTPAA-MEGA-DATTE-ELWAFA-Eurl 9367
SALIM-COBRA-EXPORTATION-EURL 4688
ROUISSI-SELAMI-IMPORT-EXPORT-Eurl 5091
ZERIG-NEW-WORLD-EURL 3765
TOLGA-GARDENS-Sarl 7259
F.M-PRODUITS-Sarl 6954
NANI-FOOD-Sarl 3495
KOUTOUF-BILADI-Eurl 5361
PRECIEUSE-BOVINS-ALGERIEN-Sarl 9389
OURAK-IMPORT-EXPORT-Eurl 9450
KHALAF-BEN-SAYAH-IMPORT-EXPORT-Eurl 9195
AQUASUB-Eurl 6717
LALIOUI-POUR-COMMERCIALISATION-Eurl 9094
EL-MOSTAKBAL-SERVICES-AGRICOLES-Sarl 2845
LAND-BRAWEN-INTERNATIONAL 9128
LES-FRERES-BOUCHEKAL-EXPORT-Sarl 6596
LC-business-import-export-SARL 9614
Les-fruits-du-désert-sarl 1415
EL-BISKRIA-COMMERCIALISATION-DE-PRODUITS-AGRICOLES-ECPA-Sarl 2664
KHIR-BLADI-EXPORT-Sarl 1098
Agence-Nationale-pour-la-Conservation-de-la-Nature-EPA-ANN 2419
CHENNAF-FAOUZI-EXPORT-Eurl 3289
COMFORT-TRADE-Sarl 4009
ARKHEL-ORCHARD-SARL 7350
DJEFFAL-NABIL-IMPORT-EXPORT-Eurl 3297
DJAOUHARAT-TITRI-LITANMIA-EL-MOSTADAMA-Sarl 2804
DATOL-Export-Eurl 3071
El-Moukhtar.Co 8650
DANOR-Sarl 5523
SAPHYTO-Sarl 9993
Socité-d'exploitation-agricole-SEA-Daouia 7262
MYR-AGRI-BUSINESS-Sarl 6266
AL-BARAKA 4049
Amine-Commerce-Eurl 8273
Chambre-d'agriculture 1942
ROC-Algérie-Sarl 7225
ETS-CHEKALIL-ABDELLAH 6983
CCLS-AIN-DEFLA-Cooperative-Céréales-Et-Légumes-Sec 9533
Ellatif-Multiservices 5624
Djenane-noor-SARL 7837
Ametna-Sarl 4374
Global-food-supplier-SARL 1760
Gold-marque-import-export-SARL 9892
