0.00 8.34 6.58 10.77 8.06 10.22 9.08 3.98 9.02 9.21 8.19 11.15 7.01 7.55 9.72 9.36 7.55 10.64 9.95 6.87 11.41 7.24 11.96 11.41 10.85 8.82 8.00 9.07 7.42 6.67 7.74 4.74 8.81 9.50 9.53 12.22 6.16 7.89 8.89 10.46 11.64 9.01 10.65 8.49 5.26 7.48 6.07 7.90 8.55 4.03 8.33 6.75 2.92 1.35 8.10 10.28 2.80 10.31
8.34 0.00 2.83 5.77 1.95 3.70 4.57 5.58 1.48 2.57 14.55 6.80 2.96 0.81 2.77 1.80 2.46 4.44 4.07 1.79 5.63 2.21 6.44 6.09 5.39 1.42 1.25 3.20 1.43 5.37 2.05 3.62 12.01 3.42 2.22 6.97 11.77 0.72 6.17 5.83 6.61 1.14 4.90 0.82 3.67 2.53 4.31 0.61 5.08 5.79 4.10 14.85 6.99 7.00 5.62 14.18 9.04 17.17
6.58 2.83 0.00 4.72 1.55 3.66 3.03 5.22 2.69 2.64 11.85 5.47 4.34 2.17 3.15 2.97 0.97 4.16 3.49 2.93 5.10 3.79 5.78 5.28 4.61 2.50 3.53 2.53 3.16 2.62 4.01 2.28 9.18 2.96 3.03 6.17 11.30 2.11 4.00 4.56 5.65 2.85 4.29 2.45 3.73 4.26 1.48 2.85 3.04 3.21 2.28 12.61 6.23 5.25 3.25 11.35 6.60 14.51
10.77 5.77 4.72 0.00 4.05 2.29 1.73 9.94 4.36 3.21 13.67 1.09 8.49 5.75 3.15 4.15 4.00 1.65 1.73 7.05 1.02 7.78 1.22 0.66 0.59 4.36 7.00 2.60 6.98 4.26 7.76 7.00 9.46 2.36 3.73 1.47 15.97 5.32 2.51 0.45 0.93 4.77 1.04 4.95 8.36 8.19 4.71 6.25 2.27 6.78 2.51 15.80 10.92 9.55 2.96 11.56 9.84 16.36
8.06 1.95 1.55 4.05 0.00 2.39 2.66 6.20 1.20 1.21 13.30 5.00 4.44 1.72 1.69 1.43 0.68 3.03 2.47 3.00 4.13 3.74 4.91 4.47 3.77 1.02 3.06 1.47 2.95 3.64 3.77 3.49 10.32 1.82 1.49 5.39 12.42 1.33 4.23 4.04 4.95 1.46 3.34 1.23 4.45 4.17 2.81 2.29 3.13 4.75 2.15 14.16 7.40 6.71 3.69 12.51 8.15 15.97
10.22 3.70 3.66 2.29 2.39 0.00 2.05 8.59 2.23 1.22 14.51 3.39 6.60 3.88 0.94 1.95 2.71 0.74 0.71 5.23 1.93 5.85 2.74 2.44 1.79 2.29 4.96 1.16 5.05 4.57 5.75 5.84 10.83 0.74 1.52 3.29 14.80 3.41 3.87 2.52 2.99 2.61 1.28 2.90 6.82 6.22 4.37 4.25 2.97 6.55 2.34 15.96 9.77 8.90 3.81 13.01 9.90 17.21
9.08 4.57 3.03 1.73 2.66 2.05 0.00 8.25 3.35 2.25 12.58 2.45 7.04 4.36 2.48 3.28 2.43 1.94 1.37 5.58 2.36 6.36 2.89 2.34 1.78 3.28 5.72 1.49 5.60 2.76 6.42 5.29 8.79 1.55 2.94 3.20 14.25 3.99 1.86 1.53 2.65 3.75 1.68 3.77 6.73 6.81 3.01 4.95 0.93 5.13 0.78 14.34 9.19 7.84 1.78 10.96 8.31 15.28
3.98 5.58 5.22 9.94 6.20 8.59 8.25 0.00 6.75 7.39 11.98 10.67 3.34 4.97 7.82 7.12 6.00 9.21 8.60 3.81 10.25 3.81 10.98 10.48 9.80 6.59 4.80 7.59 4.29 6.84 4.28 2.97 11.52 7.99 7.43 11.39 6.24 5.42 8.89 9.78 10.87 6.57 9.45 6.06 1.92 3.89 5.69 5.01 8.12 4.84 7.48 10.65 1.50 3.13 8.06 13.35 6.18 14.24
9.02 1.48 2.69 4.36 1.20 2.23 3.35 6.75 0.00 1.16 14.49 5.42 4.41 1.80 1.29 0.38 1.88 2.97 2.64 3.12 4.15 3.66 4.96 4.63 3.94 0.20 2.73 1.88 2.87 4.80 3.53 4.32 11.48 2.01 0.74 5.50 12.98 1.33 5.11 4.47 5.16 0.41 3.45 0.72 4.87 4.01 4.00 2.05 4.02 5.90 3.05 15.26 8.06 7.67 4.69 13.67 9.29 17.17
9.21 2.57 2.64 3.21 1.21 1.22 2.25 7.39 1.16 0.00 14.04 4.26 5.40 2.67 0.51 1.02 1.66 1.92 1.50 4.02 3.08 4.66 3.89 3.52 2.81 1.15 3.82 0.77 3.86 4.14 4.59 4.70 10.72 0.86 0.70 4.41 13.62 2.21 4.08 3.31 4.03 1.57 2.34 1.75 5.60 5.05 3.62 3.08 3.02 5.73 2.11 15.17 8.60 7.87 3.77 12.91 9.13 16.74
