13263 12472 11178 16198 20437
24589 10104 13905 28246 17473
45066 49751 27160 17010 17243
13353 15286 18274 16879 10830
14061 16811 9577 21257 28820
8137 29304 27463 10857 11413
21422 10636 27478 20708 20725
29920 15078 15412 23300 20995
11838 12253 25205 14100 16268
12581 27594 12209 22615 13969
18874 16684 24221 13603 14244
13404 28428 29859 16178 11180
29107 28346 19471 19668 15521
9978 17342 21786 9089 18512
26619 19503 21057 14395 28823
15020 28565 14202 23692 26259
10149 19078 15892 26284 19827
23586 24357 20900 22128 12829
8756 20669 24983 20937 27065
12765 9608 24300 26038 27122
24851 29872 13554 16847 24941
9535 23153 28595 10258 25409
11538 14063 26316 14848 16378
14882 12317 24418 22598 20630
23150 20129 22495 10686 21792
9734 29325 22186 24184 10156
14457 22054 17630 15637 26858
25127 26858 23944 23377 16061
18065 13942 12796 26366 12953
27087 12034 8089 23621 20406
10004 29096 11254 15190 17726
20817 27009 21267 8539 11103
10692 14971 18775 15910 20541
11230 29919 28188 22599 8174
18938 29763 8861 19885 16567
24566 10540 18676 25278 18949
24965 11848 29711 22980 17195
20130 19683 10722 17483 23948
21140 20953 28220 12932 22910
25556 12870 26022 29870 13166
25267 27328 28696 14280 21237
29154 25831 20462 27346 16965
9318 13774 26861 23375 25602
23192 15713 8606 10360 28414
26418 22685 19168 23356 9817
26393 23092 15220 19643 13986
10730 24136 29555 21745 28767
25461 14770 17996 8764 13034
12368 9903 12579 10825 16477
14709 19186 27143 12305 29522
17755 22762 28967 10606 26092
17902 28434 21113 27200 8110
15396 27618 19675 25614 28754
15206 25095 24247 16640 10566
16094 27398 23380 24445 13686
11394 14553 27319 28728 23876
27852 19679 22906 10445 15825
16634 11103 12283 13515 9352
