19575 28061 42048 26716 15936
38685 41230 6317 33775 15147
2502 8916 5941 6247 7743
18239 10736 44062 14654 46768
33720 32824 5021 23814 36093
9736 3009 5853 3088 33442
49905 22147 36424 4386 31282
10354 48856 32677 39486 8565
18584 25036 23557 22496 25161
3275 13540 4624 5650 18812
6873 48334 12207 10415 48906
10015 36479 26779 44773 3883
35964 35751 15000 44604 16618
32253 29708 34544 24319 33278
30799 21407 49248 8156 37231
24286 7291 18871 45236 48349
46855 24773 16164 48524 45333
25189 37817 36872 9598 16298
18012 30984 40104 10859 21875
16047 29164 39843 21335 15956
24797 43095 28690 37814 9615
10643 19661 13402 27532 34938
3600 33785 6064 42379 36599
19642 45770 35113 39953 4823
21500 38798 30350 20576 41572
8409 12433 46531 33068 32513
23430 8463 45491 20844 35884
46422 9545 9976 4057 32270
27994 12694 39995 17252 34916
35370 44624 22806 18045 26111
41150 22256 27115 20533 3227
28591 28040 49431 16781 38200
29969 19036 36596 37626 41385
5448 2275 28899 41126 7470
4823 33150 22719 34566 8539
27209 24103 24455 19000 27868
6212 42088 35276 1445 13614
7259 44261 24359 32073 24091
1776 25351 27222 14949 9842
32741 36993 36154 3174 25505
29087 7658 47056 45702 14253
34634 41165 13457 46732 3151
15864 5494 9824 44593 12230
4118 11527 43271 22609 47455
25689 21047 38528 3591 4632
19425 19656 30905 7442 38625
20591 36236 48280 27124 43438
41296 25390 39944 24258 16945
49000 22590 24656 4676 40280
38016 27375 31686 32471 20738
44865 34576 2488 13623 5368
19559 43988 4667 23782 7646
36148 44559 40764 6835 26268
3588 47319 49210 41346 48190
20562 4698 13710 21988 33828
10261 31306 7388 30269 47634
7914 41627 12810 31140 28371
16859 32250 6954 15130 42990
