25871 12659 17035 29506 13501
16016 27240 22657 22662 18381
21618 23475 65262 2662 68633
23508 19303 29629 23945 17384
15487 9426 14767 26422 20915
22146 9564 28796 28269 19697
14526 26071 10022 17979 11822
29988 18789 20968 25154 11312
27046 11593 17551 16903 8192
16095 9261 26882 25003 21148
20268 17991 25326 17109 10381
11480 29901 10849 8378 17525
17906 17865 20939 22870 22133
12071 9918 20617 13927 12014
24005 13747 17813 16169 16195
19518 28405 25301 22971 28931
22758 29472 12254 11008 20332
26810 9598 22423 13649 11551
16692 26110 19022 10860 11585
21435 19262 8838 12152 24281
20903 24230 24596 24500 20983
17898 14433 16324 10474 19684
12981 29085 21295 22283 16736
22545 23001 28107 19886 24617
12247 8821 19424 29469 14357
9393 18586 29367 15540 28038
10739 26247 11664 26514 10962
29068 15693 15586 14603 22670
13459 23436 8081 11516 24176
17225 23392 17550 14161 25390
20253 15895 10383 27057 26149
18775 29995 27345 26766 21863
15596 24776 29638 14598 16702
11140 27925 11101 16495 29915
8336 14555 9631 8037 15842
15614 24955 29440 11198 19022
8934 11724 21907 18568 18429
10332 23871 25947 17519 8733
16762 12417 14883 23730 21409
8213 26006 12602 16622 13067
21174 13059 21115 13160 29114
22349 15909 29558 26671 17312
11241 11666 11029 22761 15242
15627 12094 10388 21776 20856
9046 27011 15014 11628 20122
25799 20892 9092 21066 28357
26959 22155 24788 13372 19867
29298 20460 24756 25829 28790
20566 24056 8615 23357 25826
26977 18839 26132 25270 9214
16330 24869 20188 10488 14194
15897 20601 26593 13397 24805
24234 14327 23153 20067 18975
17651 21053 25112 12667 13293
22603 22857 24377 16728 24385
26172 21922 18150 8426 25922
23874 21601 26205 19022 17327
26924 25279 14340 15114 20370
